Fund Name,Abbr,Series,Fund Type,Geography,Objective,Risk Level,Distribution Policy,Fund Size (RM Mil),Launch Date,Status,Outperform Rate (%),Periods Assessed,YTD Fund (%),YTD Benchmark (%),YTD Alpha,1Y Fund (%),1Y Benchmark (%),1Y Alpha,3Y Fund (%),3Y Benchmark (%),3Y Alpha,5Y Fund (%),5Y Benchmark (%),5Y Alpha,10Y Fund (%),10Y Benchmark (%),10Y Alpha,AE YTD,AE 1Y,AE 3Y,AE 5Y,AE 10Y,Alloc: Domestic Equity,Alloc: Foreign Equity,Alloc: Fixed Income / Sukuk,Alloc: Money Market,Alloc: Deposits,Alloc: Other,Geo: USA,Geo: Taiwan,Geo: Korea,Geo: Japan,Geo: France,Geo: Germany,Geo: China,Geo: Singapore,Geo: Netherlands,Geo: Indonesia,Geo: Australia,Geo: Geo Other,Sector: Industrial,Sector: Technology,Sector: Financial,Sector: Communications,Sector: Consumer Discretionary,Sector: Consumer Staples,Sector: Utilities,Sector: Energy,Sector: Materials,Sector: Real Estate,Sector: Other Sector,Top 5 Holdings,Top 5 Sectors,Volatility Factor,Volatility Class,Lipper Class,Benchmark,Source MFR
PB DYNAMIC ALLOCATION FUND,PBDYNAF,Conventional,Mixed Asset / Balanced,Malaysia,Capital Growth + Income,5,Incidental,380.79,19.06.2012,Qualified,60.0,3/5,3.00,8.38,-5.38,15.39,20.96,-5.57,13.09,11.82,1.27,3.09,2.77,0.32,8.38,6.64,1.74,-0.35,-0.36,0.08,0.02,0.11,,82.00,,18.00,,,26.90,14.10,21.50,,2.80,,16.70,,,,,,3.40,49.60,0.80,25.40,2.80,,,,,,,Samsung Electronics Company Limited | Taiwan Semiconductor Manufacturing Company Limited | SK Hynix Incorporated | Alibaba Group Holding Limited - W | Alphabet Incorporated - Class A,"Technology (49.6%) | Communications (25.4%) | Industrial (3.4%) | Consumer, Cyclical (2.8%) | Financial (0.8%)",15.4,Very High,Mixed Asset MYR Global,"ThebenchmarkforPBDYNAFisacompositeof70%MSCIACFar-EastEx-Japan Index(priorto30April2021),70%S&PPanAsiaEx-Japan,Australia,NewZealand &IndiaLargeCapIndex(30April2021to1January2025),70%S&PPanAsiaEx- Japan, Australia, New Zealand & India LargeCap 8% Capped Index (w.e.f. 2 January 2025) and 30% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLC,Lipperand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
PUBLIC BALANCED FUND,PBF,Conventional,Mixed Asset / Balanced,Malaysia,Capital Growth + Income,3,Incidental,341.62,07.06.1995,Qualified,60.0,3/5,1.42,1.52,-0.10,5.56,6.89,-1.33,6.16,4.93,1.23,4.03,2.37,1.66,4.19,1.62,2.57,-0.01,-0.18,0.17,0.23,0.36,36.70,18.90,36.40,8.00,,,3.10,,,3.90,,,11.90,,,,,,6.60,7.70,21.90,6.30,,,9.10,,,,,Tenaga Nasional Berhad | Malayan Banking Berhad | Alibaba Group Holding Limited - W | Semiconductor Manufacturing International Corporation | Public Bank Berhad,Financial (21.9%) | Utilities (9.1%) | Technology (7.7%) | Industrial (6.6%) | Communications (6.3%),7.2,Low,Mixed Asset MYR Domestic 30% of the fund’s NAV,"2022 2.75 31.5.22 4.1 Public Balanced Equity Index (PBEIX) is a composite of 60% the returns of the Kuala Lumpur Composite Index (prior to 6July2009),60% thereturns ofFTSE 2023 1.75 31.5.23 2.6 BursaMalaysiaKLCI(w.e.f.6July2009)and40% the returns of 3-MonthKuala Note: Distribution yield simply measures the level of distributions and is LumpurInterbankOfferedRate(KLIBOR).TheIndexisanappropriateperformance not a measure of fund performance. benchmark for balanced fund. Underlying index data are sourced from Lipper and Bank Negara Malaysia.",[MFR FEB26] Public Series Funds.pdf
PUBLIC ISLAMIC ENHANCED BOND FUND,PIEBF,Shariah,Fixed Income,Malaysia,Capital Growth + Income,2,Annual,500.25,28.11.2006,Qualified,100.0,5/5,1.19,0.32,0.87,3.44,2.59,0.85,6.37,3.13,3.24,4.15,2.91,1.24,4.22,3.06,1.16,0.19,0.18,0.70,0.27,0.25,,13.50,70.60,15.90,,,,,,,,,,,,,,,,,,,,,,,,,,Pengurusan Air SPV Berhad - 4.06% / 2039* | Government Investment Issue - 4.291% / 2043* | CIMB Islamic Bank Berhad - 4.13% / 2034* | Projek Lebuhraya Usahasama Berhad - 5.00% / 2038* | TNB Power Generation Sdn Bhd - 5.20% / 2042*,,4.6,Low,Mixed Asset MYR,12-Month General Investment Account (GIA) rate (prior to 1 July 2025). Public Islamic Bank 12-Month Term Deposit-i (w.e.f. 1 July 2025).,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PB FIXED INCOME FUND,PBFI,Conventional,Fixed Income,Malaysia,Income,2,Annual,645.61,03.10.2002,Qualified,100.0,5/5,0.33,0.32,0.01,4.11,2.22,1.89,4.63,2.55,2.08,3.54,2.38,1.16,4.19,2.67,1.52,0.01,1.45,1.60,0.89,1.17,,,82.20,17.80,,,,,,,,,,,,,,,,,,,,,,,,,,Danum Capital Berhad - 3.82% / 2036* | Pengurusan Air SPV Berhad - 4.06% / 2039* | Sabah Credit Corporation - 3.78% / 2035* | Petroleum Sarawak E&P Sdn Bhd - 3.70% / 2035* | Johor Plantations Group Berhad - 4.19% / 2039*,,1.3,Very Low,Bond MYR,,[MFR FEB26] PB Series Funds.pdf
PUBLIC e-INCOME FUND,PeINCF,Shariah,Fixed Income,Malaysia,Income,2,Annual,246.00,01.07.2020,Qualified,100.0,4/4,0.54,0.30,0.24,3.95,2.04,1.91,3.85,2.35,1.50,3.09,2.18,0.91,,,,0.80,6.37,5.00,3.03,,,,36.50,63.50,,,,,,,,,,,,,,,,,,,,,,,,,,Bank Islam Malaysia Berhad - 3.85% / 2032** | Public Bank Berhad - 3.73% / 2032* | Sabah Credit Corporation - 3.66% / 2032** | Petroleum Sarawak E&P Sdn Bhd - 3.64% / 2032** | Pengurusan Air Selangor Sdn Bhd - 3.76% / 2035**,,0.3,Very Low,Bond MYR,50% Public Bank 12-Month Fixed Deposit Rate (FDR) and 50% Public Bank 1-Month FDR.,[MFR FEB26] Public e-Series Funds.pdf
PUBLIC SELECT BOND FUND,PSBF,Conventional,Fixed Income,Malaysia,Income,2,Annual,303.19,22.11.2005,Qualified,100.0,5/5,0.53,0.32,0.21,4.23,2.22,2.01,3.94,2.55,1.39,2.84,2.38,0.46,3.62,2.67,0.95,0.23,2.23,1.54,0.51,1.06,,,85.40,14.60,,,,,,,,,,,,,,,,,,,,,,,,,,CIMB Islamic Bank Berhad - 4.03% / 2031* | Bank Islam Malaysia Berhad - 3.85% / 2032* | PNB Merdeka Ventures Sdn Bhd - 3.79% / 2032*,,0.9,Very Low,Bond MYR,,[MFR FEB26] Public Series Funds.pdf
PUBLIC ISLAMIC SELECT BOND,PISBF,Shariah,Fixed Income,Malaysia,Income,2,Annual,246.22,10.07.2007,Qualified,100.0,5/5,0.55,0.32,0.23,4.26,2.59,1.67,4.04,3.13,0.91,2.96,2.91,0.05,3.70,3.06,0.64,0.23,1.67,0.91,0.05,0.64,,,85.60,14.40,,,,,,,,,,,,,,,,,,,,,,,,,,Bank Islam Malaysia Berhad - 3.85% / 2032* | OSK Rated Bond Sdn Bhd - 4.05% / 2032* | AEON Company (M) Berhad - 3.79% / 2032*,,1.0,Very Low,Bond Sukuk Malaysia,12-Month General Investment Account (GIA) rate (prior to 1 July 2025). Public Islamic Bank 12-Month Term Deposit-i (w.e.f. 1 July 2025).,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC ISLAMIC INCOME FUND,PI INCOME,Shariah,Fixed Income,Malaysia,Income,2,Annual,117.16,14.08.2008,Qualified,100.0,5/5,0.40,0.32,0.08,3.98,2.59,1.39,3.98,3.13,0.85,2.95,2.91,0.04,3.47,3.06,0.41,0.10,1.74,1.06,0.05,0.51,,,46.90,53.10,,,,,,,,,,,,,,,,,,,,,,,,,,Projek Lebuhraya Usahasama Berhad - 5.00% / 2038* | Pengurusan Air SPV Berhad - 4.06% / 2039* | Sabah Credit Corporation - 4.10% / 2035* | CIMB Islamic Bank Berhad - 4.07% / 2035* | Gamuda Berhad - 3.99% / 2035*,,0.8,Very Low,Consistent,12-Month General Investment Account (GIA) rate (prior to 1 July 2025). Public Islamic Bank 12-Month Term Deposit-i (w.e.f. 1 July 2025).,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC e-ISLAMIC INCOME FUND,PeISINCF,Shariah,Fixed Income,Malaysia,Income,2,Annual,37.96,01.07.2020,Qualified,100.0,4/4,0.49,0.30,0.19,3.67,2.24,1.43,3.48,2.67,0.81,2.58,2.46,0.12,,,,0.63,4.77,2.70,0.40,,,,36.90,63.10,,,,,,,,,,,,,,,,,,,,,,,,,,IJM Treasury Management Sdn Bhd - 20/05/2026** | Sabah Credit Corporation - 3.66% / 2032* | Bank Islam Malaysia Berhad - 4.58% / 2029 / 2123* | Petroleum Sarawak E&P Sdn Bhd - 3.64% / 2032* | RHB Bank Berhad - 3.81% / 2032*,,0.3,Very Low,Bond Sukuk Malaysia,"50%12-MonthGeneralInvestmentAccountRate(priorto1July2025),50%Public IslamicBank12-MonthTermDeposit-i(w.e.f.1July2025)and50%PublicIslamic Bank 1-Month Term Deposit-i.",[MFR FEB26] Public e-Series Funds.pdf
PUBLIC ENHANCED BOND FUND,PEBF,Conventional,Fixed Income,Malaysia,Capital Growth + Income,2,Annual,884.86,19.01.2005,Qualified,80.0,4/5,-2.06,0.32,-2.38,4.32,2.22,2.10,7.38,2.55,4.83,4.53,2.38,2.15,4.66,2.67,1.99,-0.74,0.66,1.51,0.67,0.62,2.50,12.60,71.60,13.30,,,,,,,,,,,,,,,,,,,,,,,,,,Government Investment Issue - 4.291% / 2043* | Projek Lebuhraya Usahasama Berhad - 5.00% / 2038* | Danum Capital Berhad - 3.72% / 2040* | Pengurusan Air SPV Berhad - 4.06% / 2039* | PNB Merdeka Ventures Sdn Bhd - 3.79% / 2032*,,3.2,Very Low,Mixed Asset MYR,,[MFR FEB26] Public Series Funds.pdf
PB INFRASTRUCTURE BOND FUND,PBINFBF,Conventional,Fixed Income,Malaysia,Income,2,Annual,420.97,11.05.2010,Qualified,80.0,4/5,0.24,0.32,-0.08,4.61,2.21,2.40,5.44,2.50,2.94,3.65,2.35,1.30,4.28,2.65,1.63,-0.04,1.33,1.63,0.72,0.91,,,70.80,29.20,,,,,,,,,,,,,,,,,,,,,,,,,,Sarawak Energy Berhad - 3.88% / 2040* | Pengurusan Air Selangor Sdn Bhd - 4.26% / 2049* | YTL Power International Berhad - 4.74% / 2038* | Pengurusan Air SPV Berhad - 4.06% / 2039* | Prasarana Malaysia Berhad - 4.12% / 2046*,,1.8,Very Low,Bond MYR,,[MFR FEB26] PB Series Funds.pdf
PB BOND FUND,PBBOND,Conventional,Fixed Income,Malaysia,Income,2,Annual,242.68,06.09.2011,Qualified,80.0,4/5,0.20,0.32,-0.12,4.31,2.21,2.10,4.93,2.50,2.43,3.67,2.35,1.32,4.19,2.65,1.54,-0.08,1.40,1.62,0.88,1.03,,,80.60,19.40,,,,,,,,,,,,,,,,,,,,,,,,,,Government Investment Issue - 3.775% / 2045* | Government Investment Issue - 4.291% / 2043* | IJM Treasury Management Sdn Bhd - 20/05/2026** | Projek Lebuhraya Usahasama Berhad - 5.00% / 2038* | Johor Plantations Group Berhad - 4.19% / 2039*,,1.5,Very Low,Bond MYR,,[MFR FEB26] PB Series Funds.pdf
PB AIMAN SUKUK FUND,PBASF,Conventional,Fixed Income,Malaysia,Income,2,Annual,817.91,10.09.2013,Qualified,80.0,4/5,0.23,0.32,-0.09,4.79,2.59,2.20,5.52,3.13,2.39,4.07,2.91,1.16,4.95,3.06,1.89,-0.06,1.47,1.59,0.77,1.26,,,80.30,19.70,,,,,,,,,,,,,,,,,,,,,,,,,,Government Investment Issue - 3.775% / 2045* | Sarawak Energy Berhad - 3.88% / 2040* | Pengurusan Air SPV Berhad - 4.06% / 2039* | S P Setia Berhad - 4.00% / 2036* | Government Investment Issue - 4.291% / 2043*,,1.5,Very Low,Bond Sukuk Malaysia,12-Month General Investment Account (GIA) rate (prior to 1 July 2025). Public Islamic Bank 12-Month Term Deposit-i (w.e.f. 1 July 2025).,[MFR FEB26] PB Series Funds.pdf
PUBLIC ENTERPRISES BOND FUND,PENTBF,Conventional,Fixed Income,Malaysia,Income,2,Annual,1280.73,20.03.2012,Qualified,80.0,4/5,0.31,0.32,-0.01,4.05,2.21,1.84,4.80,2.50,2.30,3.52,2.35,1.17,4.45,2.65,1.80,-0.01,1.42,1.77,0.90,1.38,,,79.90,20.10,,,,,,,,,,,,,,,,,,,,,,,,,,Bank Islam Malaysia Berhad - 3.85% / 2032** | Tenaga Nasional Berhad - 4.98% / 2038** | Public Bank Berhad - 3.73% / 2032* | Petroleum Sarawak E&P Sdn Bhd - 3.70% / 2035** | CIMB Islamic Bank Berhad - 4.07% / 2035**,,1.3,Very Low,Bond MYR,,[MFR FEB26] Public Series Funds.pdf
PUBLIC ISLAMIC INFRASTRUCTURE BOND FUND,PIINFBF,Shariah,Fixed Income,Malaysia,Income,2,Annual,1199.86,16.11.2010,Qualified,80.0,4/5,0.14,0.32,-0.18,4.49,2.59,1.90,5.37,3.13,2.24,3.62,2.91,0.71,4.16,3.06,1.10,-0.09,1.00,1.18,0.37,0.58,,,79.30,20.70,,,,,,,,,,,,,,,,,,,,,,,,,,TNB Power Generation Sdn Bhd - 4.84% / 2043* | Manjung Island Energy Berhad - 4.90% / 2031* | Sarawak Energy Berhad - 3.88% / 2040* | Government Investment Issue - 3.775% / 2045* | YTL Power International Berhad - 4.21% / 2037*,,1.9,Very Low,Bond Sukuk Malaysia,12-Month General Investment Account (GIA) rate (prior to 1 July 2025). Public Islamic Bank 12-Month Term Deposit-i (w.e.f. 1 July 2025).,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC STRATEGIC BOND FUND,PSTBF,Conventional,Fixed Income,Malaysia,Income,2,Annual,452.40,30.12.2010,Qualified,80.0,4/5,0.31,0.32,-0.01,3.93,2.21,1.72,4.46,2.50,1.96,3.40,2.35,1.05,4.01,2.65,1.36,-0.01,1.56,1.78,0.95,1.24,,,80.80,19.20,,,,,,,,,,,,,,,,,,,,,,,,,,PNB Merdeka Ventures Sdn Bhd - 3.64% / 2030** | Danum Capital Berhad - 3.82% / 2036** | Government Investment Issue - 4.638% / 2049** | Affin Bank Berhad - 4.10% / 2029* | Saracap Ventures Sdn Bhd - 3.81% / 2035*,,1.1,Very Low,Bond MYR,,[MFR FEB26] Public Series Funds.pdf
PUBLIC SUKUK FUND,PSKF,Shariah,Fixed Income,Malaysia,Income,2,Annual,668.12,19.07.2011,Qualified,80.0,4/5,0.25,0.32,-0.07,4.40,2.59,1.81,5.06,3.13,1.93,3.52,2.91,0.61,4.06,3.06,1.00,-0.04,1.06,1.14,0.36,0.59,,,83.40,16.60,,,,,,,,,,,,,,,,,,,,,,,,,,Government Investment Issue - 3.775% / 2045* | Projek Lebuhraya Usahasama Berhad - 5.00% / 2038* | Government Investment Issue - 4.291% / 2043* | Johor Plantations Group Berhad - 4.19% / 2039* | IJM Treasury Management Sdn Bhd - 20/05/2026**,,1.7,Very Low,Bond Sukuk Malaysia,12-Month General Investment Account (GIA) rate (prior to 1 July 2025). Public Islamic Bank 12-Month Term Deposit-i (w.e.f. 1 July 2025).,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC ISLAMIC BOND FUND,PI BOND,Shariah,Fixed Income,Malaysia,Income,2,Annual,908.98,15.08.2001,Qualified,80.0,4/5,0.29,0.32,-0.03,4.29,2.59,1.70,5.04,3.13,1.91,3.78,2.91,0.87,4.37,3.06,1.31,-0.02,1.06,1.19,0.54,0.82,,,80.10,19.90,,,,,,,,,,,,,,,,,,,,,,,,,,CIMB Islamic Bank Berhad - 4.07% / 2035* | Government Investment Issue - 3.775% / 2045* | Government Investment Issue - 4.291% / 2043* | Pengurusan Air SPV Berhad - 4.06% / 2039* | Petroleum Sarawak E&P Sdn Bhd - 3.70% / 2035*,,1.6,Very Low,Bond Sukuk Malaysia,12-Month General Investment Account (GIA) rate (prior to 1 July 2025). Public Islamic Bank 12-Month Term Deposit-i (w.e.f. 1 July 2025).,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC BOND FUND,P BOND,Conventional,Fixed Income,Malaysia,Income,2,Annual,1552.72,11.06.1996,Qualified,80.0,4/5,0.25,0.32,-0.07,3.70,2.22,1.48,4.41,2.55,1.86,3.43,2.38,1.05,4.04,2.67,1.37,-0.05,1.14,1.43,0.81,1.05,,,80.20,19.80,,,,,,,,,,,,,,,,,,,,,,,,,,CIMB Islamic Bank Berhad - 4.07% / 2035* | Danum Capital Berhad - 3.82% / 2036* | CIMB Islamic Bank Berhad - 4.13% / 2034* | Government Investment Issue - 4.291% / 2043* | Pengurusan Air SPV Berhad - 4.06% / 2039*,,1.3,Very Low,Bond MYR,,[MFR FEB26] Public Series Funds.pdf
PB ISLAMIC BOND FUND,PBIBF,Conventional,Fixed Income,Malaysia,Income,2,Annual,617.85,16.03.2006,Qualified,80.0,4/5,0.24,0.32,-0.08,4.18,2.59,1.59,4.97,3.13,1.84,3.59,2.91,0.68,4.30,3.06,1.24,-0.05,1.06,1.23,0.45,0.83,,,78.60,21.40,,,,,,,,,,,,,,,,,,,,,,,,,,CIMB Islamic Bank Berhad - 4.07% / 2035* | Government Investment Issue - 3.775% / 2045* | Government Investment Issue - 4.291% / 2043* | Petroleum Sarawak E&P Sdn Bhd - 3.70% / 2035* | CIMB Islamic Bank Berhad - 4.13% / 2034*,,1.5,Very Low,Bond Sukuk Malaysia,12-Month General Investment Account (GIA) rate (prior to 1 July 2025). Public Islamic Bank 12-Month Term Deposit-i (w.e.f. 1 July 2025).,[MFR FEB26] PB Series Funds.pdf
PB SUKUK FUND,PBSKF,Conventional,Fixed Income,Malaysia,Income,2,Annual,395.26,06.09.2011,Qualified,80.0,4/5,0.30,0.32,-0.02,4.27,2.59,1.68,4.92,3.13,1.79,3.54,2.91,0.63,4.15,3.06,1.09,-0.01,1.20,1.28,0.45,0.78,,,87.20,12.80,,,,,,,,,,,,,,,,,,,,,,,,,,Danum Capital Berhad - 3.82% / 2036* | Projek Lebuhraya Usahasama Berhad - 4.954% / 2037* | Tenaga Nasional Berhad - 4.98% / 2038* | Petroleum Sarawak E&P Sdn Bhd - 3.70% / 2035* | Government Investment Issue - 4.638% / 2049*,,1.4,Very Low,Bond Sukuk Malaysia,12-Month General Investment Account (GIA) rate (prior to 1 July 2025). Public Islamic Bank 12-Month Term Deposit-i (w.e.f. 1 July 2025).,[MFR FEB26] PB Series Funds.pdf
PUBLIC ISLAMIC STRATEGIC BOND FUND,PISTBF,Shariah,Fixed Income,Malaysia,Income,2,Annual,251.45,30.12.2010,Qualified,80.0,4/5,0.30,0.32,-0.02,4.41,2.59,1.82,4.72,3.13,1.59,3.51,2.91,0.60,3.95,3.06,0.89,-0.02,1.40,1.22,0.46,0.68,,,87.50,12.50,,,,,,,,,,,,,,,,,,,,,,,,,,CIMB Islamic Bank Berhad - 4.07% / 2035*,,1.3,Very Low,Bond Sukuk Malaysia,12-Month General Investment Account (GIA) rate (prior to 1 July 2025). Public Islamic Bank 12-Month Term Deposit-i (w.e.f. 1 July 2025).,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
